Country,AvgMonthlyRevenue
United Kingdom,3978.5353846153853
Netherlands,230.72571428571428
EIRE,162.1607692307692
Australia,159.69125000000003
Germany,128.78923076923078
France,125.02692307692307
Switzerland,51.568571428571424
Czech Republic,45.9
Channel Islands,41.15
Denmark,41.0
Lithuania,35.4
USA,32.4
Portugal,32.345
Belgium,28.936666666666667
Spain,28.666000000000004
Italy,27.658000000000005
Norway,27.377999999999997
Canada,26.52
Poland,25.7
Sweden,23.1475
Finland,20.895
Israel,20.4
Cyprus,17.866666666666667
RSA,17.4
Japan,16.21666666666667
Lebanon,15.3
Unspecified,14.34
Malta,13.45
Austria,12.3
Singapore,-2382.92
