InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
543451,22167, OVAL WALL MIRROR DIAMANTE ,1,2/8/2011 12:13,19.96,,United Kingdom
577522,22944,CHRISTMAS METAL POSTCARD WITH BELLS,6,11/20/2011 13:23,0.39,15988.0,United Kingdom
580367,22284,HEN HOUSE DECORATION,1,12/2/2011 16:39,3.29,,United Kingdom
576245,23569,TRADTIONAL ALPHABET STAMP SET,4,11/14/2011 13:40,4.95,12553.0,France
578293,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,11/23/2011 14:36,2.95,15640.0,United Kingdom
573248,23247,BISCUIT TIN 50'S CHRISTMAS,2,10/28/2011 12:09,2.89,14498.0,United Kingdom
C569985,22617,BAKING SET SPACEBOY DESIGN,-3,10/6/2011 19:51,4.95,15365.0,United Kingdom
C557971,37449,CERAMIC CAKE STAND + HANGING CAKES,-1,6/24/2011 10:15,9.95,18118.0,United Kingdom
549586,21213,PACK OF 72 SKULL CAKE CASES,4,4/11/2011 10:00,2.08,,United Kingdom
566301,21165,BEWARE OF THE CAT METAL SIGN ,1,9/11/2011 16:06,1.69,16474.0,United Kingdom
573277,23419,HOME SWEET HOME BOTTLE ,1,10/28/2011 13:18,2.08,14606.0,United Kingdom
559518,22893,MINI CAKE STAND T-LIGHT HOLDER,6,7/8/2011 16:11,0.83,,United Kingdom
551414,85099B,JUMBO BAG RED RETROSPOT,10,4/28/2011 13:35,2.08,15622.0,United Kingdom
549130,20676,RED RETROSPOT BOWL,6,4/6/2011 15:02,1.25,14701.0,United Kingdom
567461,84030e,ENGLISH ROSE HOT WATER BOTTLE,1,9/20/2011 12:31,8.29,,United Kingdom
572909,23360,SET 8 CANDLES VINTAGE DOILY,4,10/26/2011 15:48,1.95,15821.0,United Kingdom
546762,22431,WATERING CAN BLUE ELEPHANT,1,3/16/2011 14:12,1.95,17961.0,United Kingdom
567673,21155,RED RETROSPOT PEG BAG,1,9/21/2011 15:43,4.96,,United Kingdom
571667,22197,POPCORN HOLDER,4,10/18/2011 13:04,0.85,14554.0,United Kingdom
557153,23241,TREASURE TIN GYMKHANA DESIGN,2,6/17/2011 11:07,2.08,13735.0,United Kingdom
553228,21231,SWEETHEART CERAMIC TRINKET BOX,12,5/16/2011 10:48,1.25,16496.0,United Kingdom
578347,23370,SET 36 COLOURING PENCILS DOILY,4,11/24/2011 9:26,2.46,,United Kingdom
549744,21669,BLUE STRIPE CERAMIC DRAWER KNOB,36,4/12/2011 10:30,1.25,15240.0,United Kingdom
567668,21326,AGED GLASS SILVER T-LIGHT HOLDER,1,9/21/2011 15:29,1.63,,United Kingdom
563712,23256,CHILDRENS CUTLERY SPACEBOY ,4,8/18/2011 15:44,4.15,12680.0,France
580879,84519B,CARROT CHARLIE+LOLA COASTER SET,1,12/6/2011 12:18,1.25,17346.0,United Kingdom
542812,21156,RETROSPOT CHILDRENS APRON,16,2/1/2011 11:21,1.95,14850.0,United Kingdom
581221,23444,Next Day Carriage,1,12/8/2011 9:40,15.0,17856.0,United Kingdom
581225,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,12/8/2011 9:55,0.55,17677.0,United Kingdom
C564208,22768,FAMILY PHOTO FRAME CORNICE,-1,8/24/2011 9:07,9.95,15469.0,United Kingdom
578833,22297,HEART IVORY TRELLIS SMALL,1,11/25/2011 15:23,2.46,,United Kingdom
573576,23140,TRIPLE WIRE HOOK IVORY HEART,1,10/31/2011 14:09,8.29,14096.0,United Kingdom
563626,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,40,8/18/2011 10:31,2.08,16187.0,United Kingdom
569898,22728,ALARM CLOCK BAKELIKE PINK,1,10/6/2011 16:08,7.46,,United Kingdom
568220,21703,BAG 125g SWIRLY MARBLES,24,9/26/2011 10:03,0.42,15626.0,United Kingdom
579470,22974,CHILDRENS DOLLY GIRL MUG,2,11/29/2011 15:06,1.65,16549.0,United Kingdom
553057,20726,LUNCH BAG WOODLAND,10,5/13/2011 10:41,1.65,16161.0,United Kingdom
