InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Year,Month,Revenue
577522,22944,CHRISTMAS METAL POSTCARD WITH BELLS,6,2011-11-20T13:23:00.000Z,0.39,15988.0,United Kingdom,2011,November,2.34
576245,23569,TRADTIONAL ALPHABET STAMP SET,4,2011-11-14T13:40:00.000Z,4.95,12553.0,France,2011,November,19.8
578293,22086,PAPER CHAIN KIT 50'S CHRISTMAS,12,2011-11-23T14:36:00.000Z,2.95,15640.0,United Kingdom,2011,November,35.4
573248,23247,BISCUIT TIN 50'S CHRISTMAS,2,2011-10-28T12:09:00.000Z,2.89,14498.0,United Kingdom,2011,October,5.78
C569985,22617,BAKING SET SPACEBOY DESIGN,-3,2011-10-06T19:51:00.000Z,4.95,15365.0,United Kingdom,2011,October,-14.85
C557971,37449,CERAMIC CAKE STAND + HANGING CAKES,-1,2011-06-24T10:15:00.000Z,9.95,18118.0,United Kingdom,2011,June,-9.95
566301,21165,BEWARE OF THE CAT METAL SIGN,1,2011-09-11T16:06:00.000Z,1.69,16474.0,United Kingdom,2011,September,1.69
573277,23419,HOME SWEET HOME BOTTLE,1,2011-10-28T13:18:00.000Z,2.08,14606.0,United Kingdom,2011,October,2.08
551414,85099B,JUMBO BAG RED RETROSPOT,10,2011-04-28T13:35:00.000Z,2.08,15622.0,United Kingdom,2011,April,20.8
549130,20676,RED RETROSPOT BOWL,6,2011-04-06T15:02:00.000Z,1.25,14701.0,United Kingdom,2011,April,7.5
572909,23360,SET 8 CANDLES VINTAGE DOILY,4,2011-10-26T15:48:00.000Z,1.95,15821.0,United Kingdom,2011,October,7.8
546762,22431,WATERING CAN BLUE ELEPHANT,1,2011-03-16T14:12:00.000Z,1.95,17961.0,United Kingdom,2011,March,1.95
571667,22197,POPCORN HOLDER,4,2011-10-18T13:04:00.000Z,0.85,14554.0,United Kingdom,2011,October,3.4
557153,23241,TREASURE TIN GYMKHANA DESIGN,2,2011-06-17T11:07:00.000Z,2.08,13735.0,United Kingdom,2011,June,4.16
553228,21231,SWEETHEART CERAMIC TRINKET BOX,12,2011-05-16T10:48:00.000Z,1.25,16496.0,United Kingdom,2011,May,15.0
549744,21669,BLUE STRIPE CERAMIC DRAWER KNOB,36,2011-04-12T10:30:00.000Z,1.25,15240.0,United Kingdom,2011,April,45.0
563712,23256,CHILDRENS CUTLERY SPACEBOY,4,2011-08-18T15:44:00.000Z,4.15,12680.0,France,2011,August,16.6
580879,84519B,CARROT CHARLIE+LOLA COASTER SET,1,2011-12-06T12:18:00.000Z,1.25,17346.0,United Kingdom,2011,December,1.25
542812,21156,RETROSPOT CHILDRENS APRON,16,2011-02-01T11:21:00.000Z,1.95,14850.0,United Kingdom,2011,February,31.2
581221,23444,Next Day Carriage,1,2011-12-08T09:40:00.000Z,15.0,17856.0,United Kingdom,2011,December,15.0
581225,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,2011-12-08T09:55:00.000Z,0.55,17677.0,United Kingdom,2011,December,13.2
C564208,22768,FAMILY PHOTO FRAME CORNICE,-1,2011-08-24T09:07:00.000Z,9.95,15469.0,United Kingdom,2011,August,-9.95
573576,23140,TRIPLE WIRE HOOK IVORY HEART,1,2011-10-31T14:09:00.000Z,8.29,14096.0,United Kingdom,2011,October,8.29
563626,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,40,2011-08-18T10:31:00.000Z,2.08,16187.0,United Kingdom,2011,August,83.2
568220,21703,BAG 125g SWIRLY MARBLES,24,2011-09-26T10:03:00.000Z,0.42,15626.0,United Kingdom,2011,September,10.08
579470,22974,CHILDRENS DOLLY GIRL MUG,2,2011-11-29T15:06:00.000Z,1.65,16549.0,United Kingdom,2011,November,3.3
553057,20726,LUNCH BAG WOODLAND,10,2011-05-13T10:41:00.000Z,1.65,16161.0,United Kingdom,2011,May,16.5
567653,85178,VICTORIAN SEWING KIT,12,2011-09-21T14:35:00.000Z,1.25,12550.0,Spain,2011,September,15.0
547063,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2011-03-20T13:33:00.000Z,0.85,14769.0,United Kingdom,2011,March,10.2
580635,21220,SET/4 BADGES DOGS,1,2011-12-05T12:30:00.000Z,1.25,14649.0,United Kingdom,2011,December,1.25
570049,23292,SPACEBOY CHILDRENS CUP,6,2011-10-07T10:55:00.000Z,1.25,17228.0,United Kingdom,2011,October,7.5
549296,22698,PINK REGENCY TEACUP AND SAUCER,6,2011-04-08T07:37:00.000Z,2.95,14619.0,United Kingdom,2011,April,17.7
540473,21156,RETROSPOT CHILDRENS APRON,3,2011-01-07T14:31:00.000Z,1.95,17284.0,United Kingdom,2011,January,5.85
C549666,21471,STRAWBERRY RAFFIA FOOD COVER,-1,2011-04-11T12:17:00.000Z,3.75,13113.0,United Kingdom,2011,April,-3.75
578541,23015,CORDIAL GLASS JUG,2,2011-11-24T15:01:00.000Z,8.25,14277.0,France,2011,November,16.5
556740,22630,DOLLY GIRL LUNCH BOX,1,2011-06-14T12:06:00.000Z,1.95,17346.0,United Kingdom,2011,June,1.95
559477,23199,JUMBO BAG APPLES,10,2011-07-08T13:44:00.000Z,2.08,14315.0,United Kingdom,2011,July,20.8
577778,23377,PACK OF 12 DOLLY GIRL TISSUES,1,2011-11-21T16:10:00.000Z,0.39,16549.0,United Kingdom,2011,November,0.39
580482,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2011-12-04T12:44:00.000Z,2.95,16033.0,United Kingdom,2011,December,11.8
557878,47566,PARTY BUNTING,4,2011-06-23T13:13:00.000Z,4.95,16940.0,United Kingdom,2011,June,19.8
576399,23367,SET 12 COLOUR PENCILS SPACEBOY,16,2011-11-15T10:50:00.000Z,0.65,12684.0,France,2011,November,10.4
551291,22420,LIPSTICK PEN BABY PINK,12,2011-04-27T14:26:00.000Z,0.36,14298.0,United Kingdom,2011,April,4.32
577700,23322,LARGE WHITE HEART OF WICKER,1,2011-11-21T12:06:00.000Z,2.95,14449.0,United Kingdom,2011,November,2.95
540316,22481,BLACK TEA TOWEL CLASSIC DESIGN,24,2011-01-06T13:00:00.000Z,0.42,16676.0,United Kingdom,2011,January,10.08
568729,22113,GREY HEART HOT WATER BOTTLE,6,2011-09-28T16:45:00.000Z,4.25,16909.0,United Kingdom,2011,September,25.5
548703,22804,CANDLEHOLDER PINK HANGING HEART,1,2011-04-03T11:37:00.000Z,2.95,16010.0,United Kingdom,2011,April,2.95
554808,23199,JUMBO BAG APPLES,2,2011-05-26T13:01:00.000Z,2.08,17059.0,United Kingdom,2011,May,4.16
577302,22595,GINGHAM HEART DECORATION,1,2011-11-18T12:57:00.000Z,0.85,17904.0,United Kingdom,2011,November,0.85
559120,22988,SOLDIERS EGG CUP,12,2011-07-06T12:18:00.000Z,1.25,16393.0,United Kingdom,2011,July,15.0
577052,22313,OFFICE MUG WARMER PINK,3,2011-11-17T14:08:00.000Z,2.95,17397.0,United Kingdom,2011,November,8.85
C542951,22856,ASSORTED EASTER DECORATIONS  BELLS,-2,2011-02-02T11:16:00.000Z,1.25,16985.0,United Kingdom,2011,February,-2.5
572182,22815,CARD PSYCHEDELIC APPLES,12,2011-10-21T10:32:00.000Z,0.42,13588.0,United Kingdom,2011,October,5.04
579792,22757,LARGE RED BABUSHKA NOTEBOOK,12,2011-11-30T15:43:00.000Z,1.25,12714.0,France,2011,November,15.0
556247,22149,FELTCRAFT 6 FLOWER FRIENDS,15,2011-06-09T16:16:00.000Z,2.1,15058.0,United Kingdom,2011,June,31.5
575007,23551,PACK OF 12 PAISLEY PARK TISSUES,24,2011-11-08T11:20:00.000Z,0.39,14140.0,United Kingdom,2011,November,9.36
579196,22283,6 EGG HOUSE PAINTED WOOD,1,2011-11-28T15:54:00.000Z,15.79,14096.0,United Kingdom,2011,November,15.79
550318,21713,CITRONELLA CANDLE FLOWERPOT,4,2011-04-17T12:25:00.000Z,2.1,16085.0,United Kingdom,2011,April,8.4
565865,23207,LUNCH BAG ALPHABET DESIGN,10,2011-09-07T15:07:00.000Z,1.65,12637.0,France,2011,September,16.5
569388,23284,DOORMAT KEEP CALM AND COME IN,200,2011-10-03T16:50:00.000Z,7.08,14031.0,United Kingdom,2011,October,1416.0
548363,21403,BLUE EGG  SPOON,24,2011-03-30T15:48:00.000Z,0.12,12428.0,Finland,2011,March,2.88
563012,22210,WOOD STAMP SET BEST WISHES,3,2011-08-11T12:00:00.000Z,0.83,17284.0,United Kingdom,2011,August,2.49
553572,23202,JUMBO BAG VINTAGE LEAF,10,2011-05-18T09:37:00.000Z,2.08,18223.0,United Kingdom,2011,May,20.8
567375,23083,SET 6 PAPER TABLE LANTERN STARS,12,2011-09-20T09:45:00.000Z,3.75,14766.0,United Kingdom,2011,September,45.0
574295,21623,VINTAGE UNION JACK MEMOBOARD,84,2011-11-03T15:47:00.000Z,8.5,17389.0,United Kingdom,2011,November,714.0
574709,48138,DOORMAT UNION FLAG,2,2011-11-06T14:14:00.000Z,8.25,17768.0,United Kingdom,2011,November,16.5
563557,22897,OVEN MITT APPLES DESIGN,10,2011-08-17T13:33:00.000Z,1.45,15786.0,United Kingdom,2011,August,14.5
575217,90162B,ANT SILVER LIME GREEN BOUDICCA RING,6,2011-11-09T11:10:00.000Z,2.95,14794.0,United Kingdom,2011,November,17.7
576604,85125,SMALL ROUND CUT GLASS CANDLESTICK,35,2011-11-15T15:23:00.000Z,4.25,13435.0,United Kingdom,2011,November,148.75
580400,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,2011-12-04T11:50:00.000Z,8.5,16561.0,United Kingdom,2011,December,17.0
560238,23028,DRAWER KNOB CRACKLE GLAZE BLUE,12,2011-07-17T11:41:00.000Z,1.65,17725.0,United Kingdom,2011,July,19.8
541946,21166,COOK WITH WINE METAL SIGN,12,2011-01-24T11:50:00.000Z,1.95,17591.0,United Kingdom,2011,January,23.4
553210,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,2011-05-16T09:40:00.000Z,0.42,14016.0,EIRE,2011,May,10.08
577504,22630,DOLLY GIRL LUNCH BOX,1,2011-11-20T12:36:00.000Z,1.95,14159.0,United Kingdom,2011,November,1.95
541522,22625,RED KITCHEN SCALES,2,2011-01-19T09:54:00.000Z,8.5,17419.0,United Kingdom,2011,January,17.0
576633,22835,HOT WATER BOTTLE I AM SO POORLY,8,2011-11-16T09:27:00.000Z,4.95,13297.0,United Kingdom,2011,November,39.6
573772,22630,DOLLY GIRL LUNCH BOX,1,2011-11-01T10:16:00.000Z,1.95,17377.0,United Kingdom,2011,November,1.95
536401,84510A,SET OF 4 ENGLISH ROSE COASTERS,2,2010-12-01T11:21:00.000Z,1.25,15862.0,United Kingdom,2010,December,2.5
576690,22621,TRADITIONAL KNITTING NANCY,3,2011-11-16T12:19:00.000Z,1.65,15900.0,United Kingdom,2011,November,4.95
553385,22652,TRAVEL SEWING KIT,1,2011-05-16T15:53:00.000Z,1.65,16710.0,United Kingdom,2011,May,1.65
569216,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2,2011-10-02T12:41:00.000Z,8.95,15555.0,United Kingdom,2011,October,17.9
539642,15056N,EDWARDIAN PARASOL NATURAL,2,2010-12-20T15:35:00.000Z,5.95,15867.0,United Kingdom,2010,December,11.9
571737,85099F,JUMBO BAG STRAWBERRY,10,2011-10-19T10:31:00.000Z,2.08,14367.0,United Kingdom,2011,October,20.8
541596,72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,2,2011-01-19T16:19:00.000Z,2.1,17602.0,United Kingdom,2011,January,4.2
565788,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,2011-09-07T08:18:00.000Z,3.25,13210.0,United Kingdom,2011,September,19.5
